GeneID,GeneName
84720,PIGO
2954,MAAI
55222,LRC20
23367,LARP1
100506084,ARL17
11145,PLAT3
25809,TTLL1
342371,ATX1L
9177,5HT3B
26476,O10J1
219699,UNC5B
387755,INSC
4283,CXCL9
154881,KCTD7
55631,LRC40
374454,K2C1B
9509,ATS2
6927,HNF1A
783,CACB2
347735,SERC2
55589,BMP2K
7507,XPA
8000,PSCA
51125,GOGA7
53940,FHL17
9625,LMTK1
203190,LGI3
433,ASGR2
259173,AL2CL
11102,RPP14
8630,H17B6
58510,HYPDH
221477,CF089
2286,FKBP2
84787,KMT5C
3092,HIP1
140459,ASB6
55660,PR40A
4047,LSS
64794,DDX31
253260,RICTR
